Time,Open,High,Low,Close,Vol,Percent,Id,Timestamp,Vol20,Vol21
1558778400,32550,32595,32550,32595,0.25346812,0.14,162,2019-05-25 10:00:00,0.25346812,0.08689600349999285
1558778700,32595,32595,32595,32595,0.05136922,0.0,163,2019-05-25 10:05:00,0.05136922,0.08938125449999285
1558779000,32550,32550,32540,32540,0.00306,-0.17,164,2019-05-25 10:10:00,0.00306,0.08682356849999286
1558779300,32540,32540,32540,32540,0.01479953,0.0,165,2019-05-25 10:15:00,0.01479953,0.08431393749999286
1558779600,32540,32590,32450,32450,0.10419801,-0.28,166,2019-05-25 10:20:00,0.10419801,0.08814815749999286
1558779900,32450,32450,32351.09001,32355.38063,0.03401,-0.29,167,2019-05-25 10:25:00,0.03401,0.08962743649999286
1558780200,32355.50082,32360.52003,32355.50082,32360.52003,0.05611397,0.02,168,2019-05-25 10:30:00,0.05611397,0.09115613499999285
1558780500,32365.19031,32539.99993,32365.19,32400.01,0.4525122,0.12,169,2019-05-25 10:35:00,0.4525122,0.11362211499999283
1558780800,32400.03,32500.01994,32400,32400,0.14172771,-0.0,170,2019-05-25 10:40:00,0.14172771,0.11820850049999285
1558781100,32500,32500.02,32400,32400,0.06452144,0.0,171,2019-05-25 10:45:00,0.06452144,0.11976024049999286
1558781400,32400,32540,32399,32399,0.11189604,-0.0,172,2019-05-25 10:50:00,0.11189604,0.12297850399999286
1558781700,32399,32399,32399,32399,0.01459865,0.0,173,2019-05-25 10:55:00,0.01459865,0.09771674449999286
1558782000,32405,32539.99993,32399,32399,0.24730055,0.0,174,2019-05-25 11:00:00,0.24730055,0.10838577199999284
1558782300,32540,32540,32539.99993,32539.99993,0.04302397,0.44,175,2019-05-25 11:05:00,0.04302397,0.11047047049999285
1558782600,32399.00003,32400.07046,32399.00003,32400.07046,0.01987731,-0.43,176,2019-05-25 11:10:00,0.01987731,0.10999437449999286
1558782900,32400.29102,32400.55156,32400.29102,32400.55156,0.00414,0.0,177,2019-05-25 11:15:00,0.00414,0.10252076849999285
1558783200,32539.99993,32540,32450.10001,32539.99993,0.05036086,0.43,178,2019-05-25 11:20:00,0.05036086,0.10480231149999286
1558783500,32466.00001,32540,32466.00001,32540,0.0077695,0.0,179,2019-05-25 11:25:00,0.0077695,0.10483168399999288
1558783800,32540,32540.00001,32466.00001,32540.00001,0.68157125,0.0,180,2019-05-25 11:30:00,0.68157125,0.13815127349999284
1558784100,32595,32600,32540.00001,32540.00001,0.03567868,0.0,181,2019-05-25 11:35:00,0.03567868,0.11959985049999286
1558784400,32600,32600,32540.00001,32540.00001,0.05040604,0.0,182,2019-05-25 11:40:00,0.05040604,0.10944674649999286
1558784700,32540,32630,32540,32629.99993,0.50882425,0.28,183,2019-05-25 11:45:00,0.50882425,0.13231949799999285
1558785000,32540,32630,32540,32630,0.3753926,0.0,184,2019-05-25 11:50:00,0.3753926,0.15093612799999284
1558785300,32630,32630,32540,32600,0.05061101,-0.09,185,2019-05-25 11:55:00,0.05061101,0.15272670199999286
1558785600,32600,32600,32540,32540,0.02811748,-0.18,186,2019-05-25 12:00:00,0.02811748,0.14892267549999286
1558785900,32599,32600,32540,32600,0.08025755,0.18,187,2019-05-25 12:05:00,0.08025755,0.15123505299999285
1558786200,32600,32600,32540,32540,0.09560098,-0.18,188,2019-05-25 12:10:00,0.09560098,0.15320940349999285
1558786500,32540,32600,32540,32600,0.10393416,0.18,189,2019-05-25 12:15:00,0.10393416,0.13578050149999282
1558786800,32600,32600,32540,32540,0.57673404,-0.18,190,2019-05-25 12:20:00,0.57673404,0.15753081799999283
1558787100,32600,32600,32540,32540,0.0443442,0.0,191,2019-05-25 12:25:00,0.0443442,0.1565219559999928
1558787400,32540,32600,32540,32600,0.06116215,0.18,192,2019-05-25 12:30:00,0.06116215,0.1539852614999928
1558787700,32600,32630,32540,32600,1.12021071,0.0,193,2019-05-25 12:35:00,1.12021071,0.20926586449999282
1558788000,32630,32630,32540,32540,0.26956658,-0.18,194,2019-05-25 12:40:00,0.26956658,0.21037916599999282
1558788300,32630,32630,32540,32540,0.02200131,0.0,195,2019-05-25 12:45:00,0.02200131,0.20932803299999284
1558788600,32540,32630,32540,32630,0.30775945,0.28,196,2019-05-25 12:50:00,0.30775945,0.22372213999999283
1558788900,32630,32630,32541,32629,0.08665504,-0.0,197,2019-05-25 12:55:00,0.08665504,0.22784789199999284
1558789200,32543,32629,32543,32629,0.04779977,0.0,198,2019-05-25 13:00:00,0.04779977,0.22771983749999286
1558789500,32629,32629,32541,32541,0.22731129,-0.27,199,2019-05-25 13:05:00,0.22731129,0.23869692699999287
1558789800,32629,32629,32541,32550.05,0.03929594,0.03,200,2019-05-25 13:10:00,0.03929594,0.20658316149999284
1558790100,32550.05,32628,32550.05,32628,0.1615043,0.24,201,2019-05-25 13:15:00,0.1615043,0.21287444249999282
1558790400,32551,32630,32551,32560.5,0.80787364,-0.21,202,2019-05-25 13:20:00,0.80787364,0.2507478224999928
1558790700,32560.5,32630,32560.5,32560.5,0.42362844,0.0,203,2019-05-25 13:25:00,0.42362844,0.24648803199999278
1558791000,32562,32630,32562,32630,0.07189685,0.21,204,2019-05-25 13:30:00,0.07189685,0.2313132444999928
1558791300,32562,32628,32551.03,32628,0.21532461,-0.01,205,2019-05-25 13:35:00,0.21532461,0.2395489244999928
1558791600,32628,32630,32551.03,32551.03,0.09685881,-0.24,206,2019-05-25 13:40:00,0.09685881,0.2429859909999928
1558791900,32551.03,32630,32550.1,32550.1,0.81935337,-0.0,207,2019-05-25 13:45:00,0.81935337,0.2799407819999928
1558792200,32550.1,32628,32550.1,32550.1,0.03607294,0.0,208,2019-05-25 13:50:00,0.03607294,0.2769643799999928
1558792500,32550.1,32630,32540,32630,0.40509311,0.25,209,2019-05-25 13:55:00,0.40509311,0.2920223274999928
1558792800,32550.09,32631,32540,32631,0.39961973,0.0,210,2019-05-25 14:00:00,0.39961973,0.2831666119999928
1558793100,32540,32631,32540,32540,0.15380339,-0.28,211,2019-05-25 14:05:00,0.15380339,0.28863957149999286
1558793400,32631,32631,32540,32540,0.08610174,0.0,212,2019-05-25 14:10:00,0.08610174,0.28988655099999283
1558793700,32631,32631,32540,32631,0.22449091,0.28,213,2019-05-25 14:15:00,0.22449091,0.24510056099999283
1558794000,32551,32631,32540,32540,0.46225123,-0.28,214,2019-05-25 14:20:00,0.46225123,0.2547347934999928
1558794300,32540,32631,32540,32540,0.65788615,0.0,215,2019-05-25 14:25:00,0.65788615,0.2865290354999928
1558794600,32540,32631,32540,32630,0.51705791,0.28,216,2019-05-25 14:30:00,0.51705791,0.2969939584999928
1558794900,32630,32631,32500,32500,0.61319855,-0.4,217,2019-05-25 14:35:00,0.61319855,0.3233211339999928
